Products,,,,,,,,
,,,,,,,,
,Product ID,Description,Retail,Size,Supplier,Stock Count,Reorder Point,Reorder Qty
,CJ053-BRE143-44,Straight Barbell E 4mm,$15.00,14g 3/4,Metal Mafia,10,0,0
,CJ054-BRE143-84,Straight Barbell 4mm,$15.00,14g 3/8,Metal Mafia,12,0,0
,CJ056-BRE145-164,Straight Barbell 4mm,$15.00,14g 5/16,Metal Mafia,12,0,0
,CJ057-BRE145-84,Straight Barbell 4mm,$15.00,14g 5/8,Metal Mafia,12,0,0
,CJ058-BRE147-164,Straight Barbell 4mm,$15.00,14g 7/16,Metal Mafia,12,0,0
,CJ05-BRE147-84,Straight Barbell 4mm,$15.00,14g 7/8,Metal Mafia,12,0,0
,CJ060-BRE161-43,Straight Barbell 3mm,$15.00,16g 1/4,Metal Mafia,12,0,0
,CJ061-BRE163-83,Straight Barbell 3mm,$15.00,16g 3/8,Metal Mafia,12,0,0
,CJ062-BRE167-163,Straight Barbell 3mm,$15.00,16g 7/16,Metal Mafia,12,0,0
,CJ063-BRE185-163,Straight Barbell 3mm,$15.00,18g 5/16,Metal Mafia,12,0,0
,CJ064-BRIND78,Industrial Sparrow,$25.00,1-1/4,Metal Mafia,1,0,0
,CJ065-C141-25,Captive Bead Ring 5mm,$15.00,14g 1/2,Metal Mafia,12,0,0
,CJ066-C141-44,Captive Bead Ring 4mm,$15.00,14g 1/4,Metal Mafia,12,0,0
,CJ067-CBR143-84,Captive Bead Ring 4mm,$15.00,14g 3/8,Metal Mafia,12,0,0
,CJ068-C145-164,Captive Bead Ring 4MM,$15.00,14g 5/16,Metal Mafia,12,0,0
,CJ069-C145-85,Captive Bead Ring 5mm,$15.00,14g 5/8,Metal Mafia,12,0,0
,CJ070-C147-165,Captive Bead Ring 5mm,$15.00,14g 7/16,Metal Mafia,12,0,0
,CJ071-C149-165,Captive Bead Ring 5mm,$15.00,14g 9/16,Metal Mafia,12,0,0
,CJ072-C161-23,Captive Bead Ring 3mm,$15.00,16g 1/2,Metal Mafia,12,0,0
,CJ073-C161-43,Captive Bead Ring 3mm,$15.00,16g 1/4,Metal Mafia,12,0,0
,CJ074-C163-83,Captive Bead Ring 3MM,$15.00,16G 3/8,Metal Mafia,12,0,0
,CJ075-C165-163,Captive Bead Ring 3MM,$15.00,16G 5/16,Metal Mafia,12,0,0
,CJ076-C167-163,Captive Bead Ring 3mm,$15.00,16g 7/16,Metal Mafia,12,0,0
,CJ077-C181-43,Captive Bead Ring 3MM,$15.00,18G 1/4,Metal Mafia,12,0,0
,CJ078-C183-83,Captive Bead Ring 3MM,$15.00,18G 3/8,Metal Mafia,12,0,0
,CJ079-C185-163,Captive Bead Ring 3MM,$15.00,18G 5/16,Metal Mafia,12,0,0
,CJ080-C201-43,Captive Bead Ring 3MM,$15.00,20G 1/4,Metal Mafia,12,0,0
,CJ081-C203-83,Captive Bead Ring 3MM,$15.00,20G 3/8,Metal Mafia,12,0,0
,CJ082-CBEE1S,Captive Bead Ring Honey Comb,$25.00,14g 1/2,Metal Mafia,2,0,0
,CJ083-CC1SHW,Captive Bead Ring Diamond White,$30.00,14g 1/2,Metal Mafia,1,0,0
,CJ084-CC1SOX,Captive Bead Ring Diamond Onyx,$30.00,14g 1/2,Metal Mafia,3,0,0
,CJ085-CC1STHW,Captive Bead Ring Diamond Turquoise,$30.00,14g 1/2,Metal Mafia,3,0,0
,CJ086-COP2BL,Captive Bead Ring Steam Punk,$30.00,14g 1/2,Metal Mafia,2,0,0
,CJ087-COP2WH,Captive Bead Ring Steampunk,$30.00,14g 1/2,Metal Mafia,1,0,0
,CJ088-CRS1,Captive Bead Ring Silver Rose,$30.00,14g 1/2,Metal Mafia,2,0,0
,CJ089-CSPW,Captive Bead Ring Sparrow,$25.00,14g 1/2,Metal Mafia,2,0,0
,CJ090-CT10,Taper Steel Curved 10g,$25.00,10g,Metal Mafia,2,0,0
,CJ091-CT12,Taper Steel Curved 12g,$25.00,12g,Metal Mafia,2,0,0
,CJ092-CT14,Taper Steel Curved 14g,$25.00,14g,Metal Mafia,2,0,0
,CJ094-CT6,Taper Steel Curved 6g,$25.00,6g,Metal Mafia,0,0,0
,CJ095-CT8,Taper Steel Cuved 8g,$25.00,8g,Metal Mafia,2,0,0
,CJ096-CVE141-24,Curved Barbell 4mm,$15.00,14g 1/2,Metal Mafia,10,0,0
,CJ097-CVE143-84,Curved Barbell 4mm,$15.00,14G 3/8,Metal Mafia,12,0,0
,CJ098-145-164,Curved Barbell 4mm,$15.00,14G 5/16,Metal Mafia,12,0,0
,CJ099-CVE145-84,Curved Barbell 4mm,$15.00,14G 5/8,Metal Mafia,12,0,0
,CJ100-CVE147-164,Curved Barbell 4mm,$15.00,14G 7/16,Metal Mafia,12,0,0
,CJ101-CVE147-1646,Naval 4/6MM,$15.00,14G 7/16,Metal Mafia,12,0,0
,CJ102-CVE149-164,Curved Barbell 4mm,$15.00,14G 9/16,Metal Mafia,12,0,0
,CJ103-CVE161-43,Curved Barbell 3mm,$15.00,16g 1/4,Metal Mafia,12,0,0
,CJ105-165-163,Curved Barbell 3mm,$15.00,16G 5/16,Metal Mafia,11,0,0
,CJ106-CVE181-43,Curved Barbell 3mm,$15.00,18G 1/4,Metal Mafia,12,0,0
,CJ108-CVE185-163,Curved Barbell 3mm,$15.00,18G 5/16,Metal Mafia,12,0,0
,CJ109-HSE141-25,Horseshoe E 5mm,$15.00,14g 1/2,Metal Mafia,12,0,0
,CJ110-HSE143-84,Horseshoe E 4MM,$15.00,14G 3/8,Metal Mafia,12,0,0
,CJ112-HSE147-165,Horseshoe E 5MM,$15.00,14G 7/16,Metal Mafia,12,0,0
,CJ113-HSE16143,Horseshoe E 3MM,$15.00,16G 1/4,Metal Mafia,12,0,0
,CJ114-HSE163-83,Horseshoe E 3MM,$15.00,16G 3/8,Metal Mafia,11,0,0
,CJ115-HSE167-164,Horseshoe E 4MM,$15.00,16G 7/16,Metal Mafia,12,0,0
,CJ116-HSE181-43,Horseshoe E 3MM,$15.00,14G 1/4,Metal Mafia,12,0,0
,CJ117-HSE183-83,Horseshoe E 3MM,$15.00,18G 3/8,Metal Mafia,12,0,0
,CJ118-HSE185-163,Horseshoe E 3MM,$15.00,18G 5/16,Metal Mafia,12,0,0
,CJ119-HSES143-8,Horseshoe CONES,$15.00,14G 3/8,Metal Mafia,12,0,0
,CJ120-HSES163-8,Horseshoe E CONES,$15.00,16G 3/8,Metal Mafia,12,0,0
,CJ121-HSES183-8,Horseshoe E,$15.00,18G 3/8,Metal Mafia,12,0,0
,CJ122-LBE141-44,Labret,$15.00,14g 1/4,Metal Mafia,6,0,0
,CJ123-LBE143-84,Labret 14G,$15.00,14G 3/8,Metal Mafia,6,0,0
,CJ124-LBE145-164,Labret 4MM,$15.00,14G 5/16,Metal Mafia,6,0,0
,CJ125-LBE161-43,Labret 16G,$15.00,16G 1/4,Metal Mafia,12,0,0
,CJ126-NH183-8,Nose Hoop,$15.00,18g 3/8,Metal Mafia,6,0,0
,CJ127-NH185-16,Nose Hoop,$15.00,18g 5/16,Metal Mafia,4,0,0
,CJ128-NH203-8,Nose Hoop,$15.00,20G 3/8,Metal Mafia,6,0,0
,CJ129-NH205-16,Nose Hoop,$15.00,20G 5/16,Metal Mafia,6,0,0
,CJ130-NP18DOME,Nose Pin Dome,$15.00,18g 5/8,Metal Mafia,6,0,0
,CJ131-NP18OBL,Nose Pin OPAL 2.3MM,$20.00,18G 1/2,Metal Mafia,6,0,0
,CJ132-NP18OLPRP,Nose Pin 2.3MM Purple,$20.00,18G 1/2,Metal Mafia,5,0,0
,CJ133-NP18OWH,Nose Pin 2.3MM White,$20.00,18G 1/2,Metal Mafia,6,0,0
,CJ134-NP20,Nose Pin 20G,$15.00,20G 5/8,Metal Mafia,6,0,0
,CJ135-NP20AB,Nose Pin 20G,$15.00,20G 5/8,Metal Mafia,5,0,0
,CJ136-NP20CL,Nose Pin CL,$15.00,20G 5/8,Metal Mafia,5,0,0
,CJ137-NP20LG,Nose Pin LG,$15.00,20G 5/8,Metal Mafia,6,0,0
,CJ138-NPS11,Nipple Stirrup,$30.00,14g 5/8,Metal Mafia,2,0,0
,CJ139-NPSN1WH,Nipple Stirrup,$35.00,14g 9/16,Metal Mafia,0,0,0
,CJ140-PN101-2,Pinchers,$25.00,10g 1/2,Metal Mafia,1,0,0
,CJ141-PN123-8,Pinchers,$25.00,12G 3/8,Metal Mafia,1,0,0
,CJ142-PN143-8,Pinchers,$25.00,14G 3/8,Metal Mafia,1,0,0
,CJ143-PN165-16,Pinchers,$25.00,16G 5/16,Metal Mafia,1,0,0
,CJ144-PN81-2,Pinchers,$25.00,8G 1/2,Metal Mafia,1,0,0
,CJ145-SC3145-16BK,Septum Clicker Black,$35.00,14g 5/16,Metal Mafia,1,0,0
,CJ146-SC3161-4BK,Septum Clicker Black,$35.00,16G 1/4,Metal Mafia,0,0,0
,CJ147-SC3165-16S,Septum Clicker,$35.00,16G 5/16,Metal Mafia,0,0,0
,CJ148-SC4165-16S,Septum Clicker,$35.00,16G 5/16,Metal Mafia,0,0,0
,CJ149-SC5165-16BK,Septum Clicker Black,$35.00,16G 5/16,Metal Mafia,0,0,0
,CJ150-SC5165-16S,Septum Clicker,$35.00,16G 5/16,Metal Mafia,1,0,0
,CJ151-SHR183-8,Heart Shaped Seamless Ring,$15.00,18g 3/8,Metal Mafia,6,0,0
,CJ152-SHR185-16,Heart Shaped Seamelss Ring,$15.00,18g 5/16,Metal Mafia,4,0,0
,CJ153-SMR163-8,Seamless Ring,$15.00,16g 3/8,Metal Mafia,6,0,0
,CJ154-SMR183-8,Seamless Ring,$15.00,18G 3/8,Metal Mafia,6,0,0
,CJ155-SMR185-16,Seamless Ring,$15.00,18G 5-16,Metal Mafia,6,0,0
,CJ156-ST0,Taper Steel Straight 0g,$25.00,0g,Metal Mafia,2,0,0
,CJ157-ST10,Taper Steel Straight 10g,$25.00,10g,Metal Mafia,2,0,0
,CJ158-ST12,Taper Steel Straight 12g,$25.00,12g,Metal Mafia,2,0,0
,CJ159-ST14G,Taper Steel Straight 14g,$25.00,14g,Metal Mafia,2,0,0
,CJ160-ST16G,Taper Steel Straight 16g,$25.00,16g,Metal Mafia,2,0,0
,CJ161-ST18,Taper Steel Straight 18g,$25.00,18g,Metal Mafia,2,0,0
,CJ162-ST2,Taper Steel Straight 2g,$25.00,2g,Metal Mafia,2,0,0
,CJ163-ST4,Taper Steel Straight 4g,$25.00,4g,Metal Mafia,2,0,0
,CJ164-ST6,Taper Steel Straight 6g,$25.00,6g,Metal Mafia,2,0,0
,CJ165-ST8,Taper Steel Straight 8g,$25.00,8g,Metal Mafia,2,0,0
,CJ166-STUDO4,Steel Earing Prong Set,$15.00,20G,Metal Mafia,2,0,0
,CJ167-STUDO5,Steel Earing Prong Set,$15.00,20G,Metal Mafia,1,0,0
,CJ177-TSF0,Single Flair Tunnel 0g,$10.00,0G,Metal Mafia,2,0,0
,CJ178-TSF10,Single Flair Tunnel 10G,$10.00,10G,Metal Mafia,2,0,0
,CJ179-TSF4,Single Flair Tunnel 4G,$10.00,4G,Metal Mafia,2,0,0
,CJ180-TSF6,Single Flair Tunnel 8G,$10.00,8G,Metal Mafia,2,0,0
,CJ181-TSF8,Single Flair Tunnel 8G,$10.00,8G,Metal Mafia,0,0,0
,CJ182-MN0062-LBL,Navel Cat's Eye Light Blue,$30.00,14g 7/16,Painful Pleasures,1,0,0
,CJ183-MN0064-BZ,Navel Pearl BZ,$30.00,14g 7/16,Painful Pleasures,1,0,0
,CJ184-MN0087DARKBLUE,Naval Tear Drop BL,$30.00,14g 7/16,Painful Pleasures,1,0,0
,CJ185-MN0092-CRYSTAL,Navel EXT Diamond,$35.00,14g 7/16,Painful Pleasures,2,0,0
,CJ186-MN0617-CRYSTAL,Naval Dangle CZ,$30.00,14g 7/16,Painful Pleasures,3,0,0
,CJ187-MN0934,Navel Blue Flower,$30.00,14g 7/16,Painful Pleasures,1,0,0
,CJ188-MN1008-CRYSTAL,Naval EXT Prong 13mm CZ,$35.00,14g 7/16,Painful Pleasures,1,0,0
,CJ189-MN1161-CRYSTAL,Navel E Row of Stones, CL,$35.00,14g 7/16,Painful Pleasures,1,0,0
,CJ190-MN1532,Eyebrow Retainer Acrylic Soft,$15.00,16g 3/8,Painful Pleasures,4,0,0
,CJ191-MN1564-AQUA,Naval EXT Squares Aqua,$30.00,14g 3/8,Painful Pleasures,0,0,0
,CJ192-MN15634-CZ,Naval E Squares CZ,$30.00,14g 3/8,Painful Pleasures,1,0,0
,CJ193-MN1622,Naval EXT Prong Set CZ w/loop,$35.00,14g 7/16,Painful Pleasures,7,0,0
,CJ194-UB046-6MM,Straight Barbell Half Ball,$20.00,14g 5/8,Painful Pleasures,2,0,0
,CJ195-UB135-BLACK,Straight Barbell Single Jewel  Black,$15.00,14g 5/8,Painful Pleasures,2,0,0
,CJ196-UB135DARKGREEN,Straight Barbell Single Jewel,$15.00,14g 5/8,Painful Pleasures,1,0,0
,CJ197-UB135-DARKRED,Straight Barbell Single Jewel,$15.00,14G 5/8,Painful Pleasures,1,0,0
,CJ198-UB135LIGHTBLUE,Straight Barbell Single Jewel,$15.00,14G 5/8,Painful Pleasures,3,0,0
,CJ199-UB144,Tongue Single Jewel CZ,$30.00,14G 5/8,Painful Pleasures,0,0,0
,CJ200-UB188,Industrial Single Jewel 14g 1-1/2,$30.00,14g 1-1/2,Painful Pleasures,1,0,0
,CJ201-UB200,Industrial Single Jewel 14g 1-1/2,$30.00,14G 1-1/2,Painful Pleasures,1,0,0
,CJ203-UB204,Industrial Single Jewel,$30.00,14G 1-1/2,Painful Pleasures,1,0,0
,CJ204-UB211,Industrial Black Wave,$30.00,14G 1-1/2,Painful Pleasures,1,0,0
,CJ205-UB226-DEAL30,Straight Barbell Single Jewel,$15.00,14G 5/8,Painful Pleasures,29,0,0
,CJ206-UB327-1POINT6,Acrylic Tongue Retainer Clear,$15.00,14g 5/8,Painful Pleasures,9,0,0
,CJ207-UB328,Acrylic Tongue Retainer Pink,$15.00,14g 5/8,Metal Mafia,5,0,0
,CJ208-UR196,Crystal Hear Captive Bead Ring,$30.00,14g,Painful Pleasures,3,0,0
,CJ209-UR260-10MM,Fixed Ball Ring,$15.00,20g 3/8,Painful Pleasures,10,0,0
,CJ210-UR260-8MM,Fixed Ball Ring,$15.00,20g 5/16,Painful Pleasures,9,0,0
,CJ211-UR261-10MM,Fixed Bead Ring,$15.00,18g 3/8,Painful Pleasures,10,0,0
,CJ212-UR261-8MM,Fixed Bead Ring,$15.00,18G 5/16,Painful Pleasures,10,0,0
,CJ213-UR271-10MM-4MM,Fixed Bead Ring 4mm Ball,$15.00,14G 3/8,Painful Pleasures,10,0,0
,CJ214-UR272-10MM-4MM,Fixed Bead Ring 4mm Ball,$15.00,16g 3/8,Painful Pleasures,10,0,0
